,id,link,name,size,row,col,persian
0,1,https://www.nonograms.org/nonograms/i/50195,Tiny Dog,4x4,4,4,سگ کوچک
2,6,https://www.nonograms.org/nonograms/i/6507,Candle,5x5,5,5,شمع
3,7,https://www.nonograms.org/nonograms/i/6538,Chicken,5x5,5,5,جوجه
4,8,https://www.nonograms.org/nonograms/i/6542,Dog,5x5,5,5,سگ
5,9,https://www.nonograms.org/nonograms/i/6551,Camel,5x5,5,5,شتر
7,11,https://www.nonograms.org/nonograms/i/6555,Baby carriage,5x5,5,5,کالسکه کودک
9,13,https://www.nonograms.org/nonograms/i/6557,Rabbit,5x5,5,5,خرگوش
10,14,https://www.nonograms.org/nonograms/i/6705,Bomb,5x5,5,5,بمب
11,15,https://www.nonograms.org/nonograms/i/8753,Hourglass,5x5,5,5,ساعت شنی
12,16,https://www.nonograms.org/nonograms/i/14698,Watch,5x5,5,5,تماشا کردن
13,17,https://www.nonograms.org/nonograms/i/16323,Cat,5x5,5,5,گربه
14,18,https://www.nonograms.org/nonograms/i/16326,Camel,5x5,5,5,شتر
17,21,https://www.nonograms.org/nonograms/i/56638,Fan,5x5,5,5,پنکه
18,22,https://www.nonograms.org/nonograms/i/60802,Dinosaur,5x5,5,5,دایناسور
19,64,https://www.nonograms.org/nonograms/i/4668,The house,7x7,7,7,خانه
20,65,https://www.nonograms.org/nonograms/i/15707,Car,7x7,7,7,ماشین
22,91,https://www.nonograms.org/nonograms/i/2911,Plug,8x8,8,8,دوشاخه
25,94,https://www.nonograms.org/nonograms/i/38709,Fish,8x8,8,8,ماهی
26,95,https://www.nonograms.org/nonograms/i/39745,Palm,8x8,8,8,نخل
27,96,https://www.nonograms.org/nonograms/i/44334,Pumpkin,8x8,8,8,كدو حلوايي
29,135,https://www.nonograms.org/nonograms/i/1235,Umbrella,9x9,9,9,چتر
31,137,https://www.nonograms.org/nonograms/i/8560,Propeller,9x9,9,9,پروانه
32,138,https://www.nonograms.org/nonograms/i/16976,Kitten,9x9,9,9,بچه گربه
34,140,https://www.nonograms.org/nonograms/i/36274,Duck,9x9,9,9,اردک
35,141,https://www.nonograms.org/nonograms/i/38326,Sprout,9x9,9,9,جوانه
36,142,https://www.nonograms.org/nonograms/i/41799,Duck,9x9,9,9,اردک
37,205,https://www.nonograms.org/nonograms/i/2847,Boat,10x10,10,10,قایق
38,206,https://www.nonograms.org/nonograms/i/2849,Tap water,10x10,10,10,آب لوله کشی
39,207,https://www.nonograms.org/nonograms/i/2863,Camera,10x10,10,10,دوربین
40,208,https://www.nonograms.org/nonograms/i/2864,Helicopter,10x10,10,10,بالگرد
41,209,https://www.nonograms.org/nonograms/i/2869,Skater,10x10,10,10,اسکیت باز
42,210,https://www.nonograms.org/nonograms/i/2874,Fish,10x10,10,10,ماهی
43,211,https://www.nonograms.org/nonograms/i/2877,Chicken,10x10,10,10,جوجه
44,212,https://www.nonograms.org/nonograms/i/2880,Cat,10x10,10,10,گربه
45,213,https://www.nonograms.org/nonograms/i/2926,Beer,10x10,10,10,آبجو
46,214,https://www.nonograms.org/nonograms/i/2927,Locomotive,10x10,10,10,لوکوموتیو
47,215,https://www.nonograms.org/nonograms/i/2928,Dinosaur,10x10,10,10,دایناسور
48,216,https://www.nonograms.org/nonograms/i/2929,Teapot,10x10,10,10,قوری
49,217,https://www.nonograms.org/nonograms/i/2937,Cocktail,10x10,10,10,کوکتل
